cls
avr-nm -C -S -l -f sysv C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\IttyBitty\nano_atmega328\IttyBitty.ino.elf

Name                  Value   Class        Type         Size     Line  Section
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.do_clear_bss_loop  |00000108|   t  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:673
.do_clear_bss_start |0000010a|   t  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:673
__bad_interrupt     |0000012e|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:675
__brkval            |0080042a|   B  |            OBJECT|00000002|     |.bss
__bss_end           |0080042e|   B  |            NOTYPE|        |     |.bss
__bss_start         |0080025c|   B  |            NOTYPE|        |     |.bss
__ctors_end         |000000c4|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:662
__ctors_start       |000000bc|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:661
__cxa_pure_virtual  |00001516|   T  |              FUNC|00000004|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/abi.cpp:24
__data_end          |0080025c|   D  |            NOTYPE|        |     |.data
__data_load_end     |00001cca|   A  |            NOTYPE|        |     |*ABS*
__data_load_start   |00001b6e|   A  |            NOTYPE|        |     |*ABS*
__data_start        |00800100|   D  |            NOTYPE|        |     |.data
__do_clear_bss      |00000100|   T  |            NOTYPE|00000010|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:672
__do_copy_data      |000000ea|   T  |            NOTYPE|00000016|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:668
__do_global_ctors   |00000110|   T  |            NOTYPE|00000016|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:673
__do_global_dtors   |00001b56|   T  |            NOTYPE|00000016|     |.text
__dtors_end         |000000c6|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:662
__dtors_start       |000000c4|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:662
__eeprom_end        |00810000|   N  |            NOTYPE|        |     |.comment
__epilogue_restores__|000018ca|   T  |            NOTYPE|00000036|     |.text
__flp               |0080042c|   B  |            OBJECT|00000002|     |.bss
__fuse_byte_high_or_extended|        |   U  |            NOTYPE|        |     |*UND*
__heap_end          |00000000|   W  |            NOTYPE|        |     |*ABS*
__heap_start        |0080042f|   B  |            NOTYPE|        |     |.noinit
